item_code;item_name;cbm
SJ-N162D-VR;REFRIGERATOR LOCAL 1;0.365
SJ-N162N-HS;REFRIGERATOR LOCAL 1;0.362
SJ-N182D-AB;REFRIGERATOR LOCAL 1 ;0.414
SJ-N182D-SB;REFRIGERATOR LOCAL 1;0.414
SJ-N182D-SH;REFRIGERATOR LOCAL 1;0.414
SJ-N182D-SP;REFRIGERATOR LOCAL 1;0.414
SJ-N182D-VB;REFRIGERATOR LOCAL 1;0.414
SJ-N182D-VR;REFRIGERATOR LOCAL 1;0.414
SJ-N182N-HS;REFRIGERATOR LOKAL 1;0.414
SJ-N192D-SB;REFRIGERATOR LOCAL 1;0.446
SJ-N192D-SH;REFRIGERATOR LOCAL 1;0.446
SJ-N192D-SP;REFRIGERATOR LOCAL 1;0.446
SJ-N192D-VB;REFRIGERATOR LOCAL 1;0.446
SJ-N192D-VR;REFRIGERATOR LOCAL 1;0.446
SJ-N192N-HS;REFRIGERATOR LOCAL 1;0.442
SJ-X165MG-GB;REFRIGERATOR LOCAL 1;0.365
SJ-X165MG-GR;REFRIGERATOR LOCAL 1 DOOR;0.365
SJ-X167MG-DB;REFRIGERATOR LOCAL 1;0.373
SJ-X167MG-DP;REFRIGERATOR LOCAL 1;0.373
SJ-X185MG-GB;REFRIGERATOR LOCAL 1 DOOR;0.414
SJ-X185MG-GR;REFRIGERATOR LOCAL 1 DOOR;0.414
SJ-X187MG-DB;REFRIGERATOR LOCAL 1;0.418
SJ-X187MG-DP;REFRIGERATOR LOCAL 1;0.418
SJ-X195MG-GB;REFRIGERATOR LOCAL 1 DOOR;0.446
SJ-X195MG-GR;REFRIGERATOR LOCAL 1 DOOR;0.446
SJ-X197MG-DB;REFRIGERATOR LOCAL 1;0.457
SJ-X197MG-DP;REFRIGERATOR LOCAL 1;0.457
SJ-X197W-DW;REFRIGERATOR LOCAL 1;0.457
SJ-X197W-SB;REFRIGERATOR LOCAL 1;0.461
SWD-66EHL-BP;WATER DISPENSER;0.162
SWD-66EHL-BS;WATER DISPENSER;0.163
SWD-72EHL-BK;WATER DISPENSER;0.161
SWD-72EHL-WH;WATER DISPENSER;0.161
SWD-73EHL-BK;WATER DISPENSER;0.161
SWD-75EHL-SL;WATER DISPENSER;0.161
SWD-78EHL-SL;WATER DISPENSER;0.161
SWD-80EHL-BK;WATER DISPENSER;0.161
SWD-83EHL-SL;DISPENSER BOTTOM TRI;0.159
SWD-88EHL-BK;DISPENSER BOTTOM TRI;0.159
SWD-88EHL-SL;DISPENSER BOTTOM TRI;0.159
